subject,Group,Cue,Allergy
1,intra,A,10
1,intra,B,10
1,intra,C,0
1,intra,D,0
1,intra,CD,0
1,intra,EF,10
1,intra,GH,0
1,intra,AB,20
2,intra,A,8
2,intra,B,9
2,intra,C,0
2,intra,D,0
2,intra,CD,0
2,intra,EF,11.5
2,intra,GH,0
2,intra,AB,16
3,intra,A,10
3,intra,B,10
3,intra,C,0
3,intra,D,0
3,intra,CD,0
3,intra,EF,10
3,intra,GH,0
3,intra,AB,20
4,intra,A,10
4,intra,B,10
4,intra,C,0
4,intra,D,0
4,intra,CD,0
4,intra,EF,10
4,intra,GH,0
4,intra,AB,15
5,intra,A,10
5,intra,B,10
5,intra,C,0
5,intra,D,0
5,intra,CD,0
5,intra,EF,10
5,intra,GH,0
5,intra,AB,20
6,intra,A,10
6,intra,B,10
6,intra,C,0
6,intra,D,0
6,intra,CD,0
6,intra,EF,10
6,intra,GH,0
6,intra,AB,20
7,intra,A,10
7,intra,B,10
7,intra,C,0
7,intra,D,0
7,intra,CD,0
7,intra,EF,10
7,intra,GH,0
7,intra,AB,20
8,intra,A,10
8,intra,B,10
8,intra,C,0
8,intra,D,0
8,intra,CD,0
8,intra,EF,10
8,intra,GH,0
8,intra,AB,20
9,intra,A,10
9,intra,B,10
9,intra,C,0
9,intra,D,0
9,intra,CD,0
9,intra,EF,10
9,intra,GH,0
9,intra,AB,20
10,extra,A,10
10,extra,B,10
10,extra,C,0
10,extra,D,0
10,extra,CD,0
10,extra,EF,10
10,extra,GH,0
10,extra,AB,20
11,extra,A,10
11,extra,B,10
11,extra,C,0
11,extra,D,0
11,extra,CD,0
11,extra,EF,10
11,extra,GH,0
11,extra,AB,20
12,extra,A,10
12,extra,B,10
12,extra,C,0
12,extra,D,0
12,extra,CD,0
12,extra,EF,10
12,extra,GH,0
12,extra,AB,20
13,extra,A,10
13,extra,B,10
13,extra,C,0
13,extra,D,0
13,extra,CD,0
13,extra,EF,10
13,extra,GH,0
13,extra,AB,20
14,extra,A,10
14,extra,B,10
14,extra,C,0
14,extra,D,0
14,extra,CD,0
14,extra,EF,10
14,extra,GH,0
14,extra,AB,20
15,extra,A,10
15,extra,B,10
15,extra,C,0
15,extra,D,0
15,extra,CD,0
15,extra,EF,10
15,extra,GH,0
15,extra,AB,20
16,extra,A,10
16,extra,B,10
16,extra,C,0
16,extra,D,0
16,extra,CD,0
16,extra,EF,10
16,extra,GH,0
16,extra,AB,20
17,extra,A,10
17,extra,B,10
17,extra,C,0
17,extra,D,0
17,extra,CD,0
17,extra,EF,10
17,extra,GH,0
17,extra,AB,20
5,intra,A,10
5,intra,B,5
5,intra,AB,20
5,intra,C,0
5,intra,D,0
5,intra,CD,0
5,intra,EF,10
5,intra,GH,5
3,intra,A,15
3,intra,B,10
3,intra,AB,20
3,intra,C,0
3,intra,D,0
3,intra,CD,0
3,intra,EF,10
3,intra,GH,0
6,intra,A,10
6,intra,B,10
6,intra,AB,20
6,intra,C,0
6,intra,D,0
6,intra,CD,0
6,intra,EF,20
6,intra,GH,0
15,intra,A,0
15,intra,B,0
15,intra,AB,0
15,intra,C,10
15,intra,D,10
15,intra,CD,20
15,intra,EF,0
15,intra,GH,10
18,intra,A,8
18,intra,B,14
18,intra,AB,19.5
18,intra,C,10
18,intra,D,9.5
18,intra,CD,10.5
18,intra,EF,7
18,intra,GH,11
9,intra,A,0
9,intra,B,5
9,intra,AB,15
9,intra,C,5
9,intra,D,10
9,intra,CD,0
9,intra,EF,10
9,intra,GH,10
8,intra,A,14.5
8,intra,B,12
8,intra,AB,11
8,intra,C,4.5
8,intra,D,4.5
8,intra,CD,4
8,intra,EF,18
8,intra,GH,5.5
10,intra,A,14
10,intra,B,12.5
10,intra,AB,20
10,intra,C,0
10,intra,D,0
10,intra,CD,0
10,intra,EF,19
10,intra,GH,5.5
12,intra,A,20
12,intra,B,20
12,intra,AB,20
12,intra,C,10
12,intra,D,0
12,intra,CD,0
12,intra,EF,20
12,intra,GH,0
19,intra,A,0
19,intra,B,5
19,intra,AB,7.5
19,intra,C,0
19,intra,D,5
19,intra,CD,12
19,intra,EF,5
19,intra,GH,10
20,intra,A,10
20,intra,B,10
20,intra,AB,20
20,intra,C,0
20,intra,D,0
20,intra,CD,0
20,intra,EF,10
20,intra,GH,10
22,intra,A,0
22,intra,B,0
22,intra,AB,3
22,intra,C,18.5
22,intra,D,18.5
22,intra,CD,18.5
22,intra,EF,0
22,intra,GH,15
